act_avg,sat_avg,enrollment,city,acceptance_rate,percent_receiving_aid,cost_after_aid,state,hs_gpa_avg,tuition,Institution_name,institution_type,us_rank
24,1030,11129,Chicago,73,64,38093,IL,3.7,42828,Loyola University Chicago,private,103
22,990,12871,Durham,76,56,34826,NH,3.5,32637,University of New Hampshire,public,103
22,980,20049,Eugene,78,7,42682,OR,3.6,34611,University of Oregon,public,103
25,1120,25556,Columbia,68,8,41810,SC,,32362,University of South Carolina,public,103
24,1040,22139,Knoxville,77,33,39170,TN,3.9,31160,University of Tennessee,public,103
22,1040,5899,Washington,30,50,33124,DC,3.5,25697,Howard University,private,110
23,980,32563,Tuscaloosa,53,27,26861,AL,3.7,28100,University of Alabama,public,110
23,1030,6745,San Francisco,71,46,42433,CA,3.4,46250,University of San Francisco,private,110
23,1030,3483,Stockton,66,67,37188,CA,3.5,46346,University of the Pacific,private,110
21,1050,23789,Salt Lake City,76,11,35873,UT,3.6,26408,University of Utah,public,110
22,1020,42477,Tempe,83,31,37446,AZ,3.5,27372,Arizona State University--Tempe,public,115
22,980,30671,Ames,87,34,27241,IA,3.6,22256,Iowa State University,public,115
24,1050,29275,Philadelphia,52,37,35109,PA,3.6,27266,Temple University,public,115
23,,19262,Lawrence,93,30,30962,KS,3.6,26592,University of Kansas,public,115
24,1050,6111,St. Paul,83,55,34299,MN,3.6,41133,University of St. Thomas,private,115
23,1040,3241,Washington,80,54,35518,DC,3.4,44060,The Catholic University of America,private,120
22,1030,15407,Chicago,70,59,42438,IL,3.6,39010,DePaul University,private,120
24,1055,6039,Pittsburgh,74,65,29185,PA,3.7,36394,Duquesne University,private,120
23,1020,25898,Columbia,75,33,27962,MO,,26506,University of Missouri,public,120
24,1080,3268,Potsdam,68,79,33669,NY,3.6,47950,Clarkson University,private,124
22,1020,25177,Fort Collins,78,16,39497,CO,3.6,29140,Colorado State University,public,124
25,1073,5829,Houghton,76,28,38217,MI,3.7,32318,Michigan Technological University,public,124
21,970,34072,Tucson,79,29,35051,AZ,3.5,32449,University of Arizona,public,124
21,940,19799,Riverside,66,15,41753,CA,3.7,41931,University of California--Riverside,public,124
24,1030,8330,Dayton,60,46,34204,OH,3.7,41750,University of Dayton,private,124
22,990,20833,Lincoln,75,21,28968,NE,3.5,23256,University of Nebraska--Lincoln,public,124
24,1070,6899,Hempstead,62,61,40205,NY,3.6,43960,Hofstra University,private,132
23,1010,26118,Baton Rouge,76,14,40711,LA,3.4,28051,Louisiana State University--Baton Rouge,public,133
25,1100,4706,Macon,69,67,26615,GA,3.8,36000,Mercer University,private,133
23,1030,7014,New York,60,41,50853,NY,3.3,47330,The New School,private,133
,910,8170,Newark,65,26,38949,NJ,,29480,Rutgers University--Newark,public,133
23,1010,22548,Fayetteville,63,16,33514,AR,3.7,24308,University of Arkansas,public,133
23,1030,25860,Cincinnati,76,28,35124,OH,3.6,26334,University of Cincinnati,public,133
24,1060,23812,Fairfax,81,39,38588,VA,3.7,34370,George Mason University,public,140
23,1110,8211,Newark,59,35,18674,NJ,3.5,31034,New Jersey Institute of Technology,public,140
23,1000,29853,San Diego,35,32,31354,CA,3.7,19340,San Diego State University,public,140
24,1070,31461,Tampa,47,25,23103,FL,3.9,17324,University of South Florida,public,140
20,930,24904,Pullman,72,37,30666,WA,3.4,25817,Washington State University,public,140
22,950,19472,Manhattan,94,22,34621,KS,3.5,24775,Kansas State University,public,145
22,990,25327,Corvallis,77,34,36636,OR,3.7,29457,Oregon State University,public,145
22,970,2786,Rochester,65,81,28750,NY,3.6,33120,St. John Fisher College,private,145
21,990,17959,Chicago,74,31,39033,IL,3.3,27672,University of Illinois--Chicago,public,145
22,1000,19213,University,78,24,27943,MS,3.6,23554,University of Mississippi,public,145
25,1140,17350,Richardson,68,28,37028,TX,,33654,University of Texas--Dallas,public,145
